Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;100,292088367286;2,24260032835514;100,317158279649;1,28095971663672;21,2675949463045
2;27826;100,310918943113;6,09501734027642;100,495918800666;3,47708862661767;23,6156359403763
3;7742,6;100,417543839017;21,2035573558322;102,631739511727;11,9230862756768;25,7186739350666
4;2154,4;100,61376249795;75,5572237374413;125,825368121471;36,9051977972654;27,7817149298579
5;599,48;101,295307884467;270,709951067957;289,040856985003;69,4849595549352;31,4827859205136
6;166,81;103,224482123956;971,91316037381;977,379396661074;83,9374845703573;35,0238479115733
7;46,416;117,146655436521;3483,9809547634;3485,94988948982;88,0741912157076;38,6999169022921
8;12,915;268,34502797874;12510,7479766144;12513,6255333298;88,77124210402;41,647970894849
9;3,5938;2156,40302919909;44848,0965750838;44899,9091361261;87,2472029076512;51,785161869255
10;1;25587,2045875267;157282,180604877;159349,896060302;80,7598746836092;61,5513398445978
