Time (s)	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)
107.667936728165	50000	100.143349749603	3.84256138703252	100.217043346351	2.19739600466419
110.203978721762	39520	100.135360934499	4.63248364793181	100.242458141402	2.64874117158724
113.585042713225	31237	100.186327899253	5.66039184340711	100.346102733278	3.23369611328758
116.601098705611	24690	100.216226192292	7.01000041728794	100.461097436147	4.00125121840575
119.942160697175	19515	100.237131461835	8.7276136994326	100.616369267549	4.97617478400956
123.628227687869	15425	100.344423893534	10.9435101778752	100.939406683111	6.22404919316414
127.729304677515	12192	100.415946853437	13.7510310655724	101.353111633726	7.79762379549611
132.325390665911	9636.3	100.573844380033	17.3116908100569	102.052892227914	9.76656849566904
137.726487652274	7616.5	100.695617743264	21.8089516226914	103.030276150161	12.2205398012166
143.737599637097	6020.1	101.046391922702	27.5221963161542	104.727477820585	15.2361645088582
149.528707622476	4758.3	101.538886162146	34.7358735698987	107.316011460142	18.8855247275557
155.344815607792	3761	102.347111851231	43.8666170776552	111.351746273357	23.2002785173667
161.240924592906	2972.7	103.528625303692	55.3484930841997	117.395195574453	28.1298595370741
167.092034578133	2349.6	105.404314148502	69.8087373490323	126.425192313013	33.5163047167476
172.923139563411	1857.2	108.414399279343	87.9911594843895	139.628529027947	39.0634319007836
178.874251548386	1467.9	113.133793373887	110.717030962492	158.295660547959	44.381441158409
184.710358533651	1160.2	120.505827618109	138.865562520308	183.86217377157	49.0489571628407
190.581467518828	917.05	132.155213536717	173.526998662709	218.120654065182	52.7077176746058
196.402576504131	724.84	150.035429577886	215.279544694016	262.404101515741	55.1260849200381
202.183683489535	572.92	177.337341733115	264.326561422688	318.303414757853	56.1422422838481
213.46589446105	452.83	217.914507297376	319.516549391929	386.752579598357	55.7054955915262
219.552002445684	357.92	275.667789087932	377.360973873132	467.326475328658	53.8513174401303
225.658120430268	282.9	353.678516886487	431.657901862507	558.047522660362	50.6705537978692
231.319220415975	223.61	451.470803003563	473.47887048342	654.223300379112	46.3630271299857
236.920324401834	176.74	563.508367317259	494.156089542174	749.487772327325	41.2484202666292
242.611430387465	139.7	679.000780881496	488.361510588759	836.384496187139	35.7250313858204
248.432537372768	110.42	785.864135046352	457.519555399159	909.344039582816	30.2073900517953
254.038642358614	87.273	875.521955683231	409.058432905724	966.368199194632	25.0427643195188
259.109735345811	68.981	944.441796497511	352.243339530004	1007.99091127584	20.4537338998901
265.010844330912	54.523	994.341335703109	294.943587144975	1037.16267358876	16.5215189978662
269.661932319169	43.095	1029.08271435279	242.180840278244	1057.19572094176	13.2428269589481
275.018031305646	34.062	1050.98854929208	196.015123422339	1069.11124741691	10.5645987844412
281.184147290078	26.923	1066.68271152928	157.383298341973	1078.23073118534	8.39312925664603
286.275241277225	21.28	1075.82750245005	125.752248119858	1083.1520867058	6.66698439668444
292.036344262679	16.82	1081.63287085345	99.9838853309265	1086.24419199208	5.28129393463835
298.542468246253	13.294	1085.0670941507	79.3114438082323	1087.96181179653	4.18051945551969
303.87856523278	10.508	1087.85047806193	62.8779393787595	1089.66614055869	3.30802502239701
309.959679217427	8.3055	1089.63070702539	49.7989020796088	1090.76808183087	2.61674236930208
316.945809199789	6.5647	1090.25448173306	39.389952778855	1090.9658121678	2.06914704508254
322.456911185875	5.1887	1091.17234947946	31.1699923468412	1091.61745345676	1.63624333415647
328.563022170458	4.1012	1091.59690278848	24.6140030395017	1091.8743734162	1.29172183089106
335.45415115306	3.2416	1091.55471493409	19.4663483376367	1091.72827865383	1.02168161589973
341.000252139057	2.5622	1091.76665395085	15.3400800873767	1091.8744180244	0.804992541729413
347.181366123451	2.0251	1092.25608890053	12.1705743320066	1092.3238927259	0.638397618854565
354.152496105851	1.6007	1091.9613794843	9.62931307103885	1092.00383605346	0.505241951230796
359.73360109176	1.2652	1091.74257265261	7.61964667315852	1091.76916239541	0.39988044637583
366.204720075422	1	1092.32437905395	6.20883583112572	1092.34202460492	0.325669063662108
