History Channel Functions Measurement Report

Measurements started at Date: 06-sep-2023 Time: 10:49:37

Description of the Function:

User Defined Function: m(1;850). Scope Mode

Time         Seconds   Function Value
10:49:37.597      0,545      24347,1184
10:49:38.106      1,054      24388,4843
10:49:38.639      1,587      24381,3736
10:49:39.181      2,129      24399,1477
10:49:39.747      2,695      24359,6845
10:49:40.284      3,232      24421,4434
10:49:40.805      3,753      24392,3947
10:49:41.340      4,288      24405,0048
10:49:41.938      4,886      24425,8403
10:49:42.564      5,512      24403,2794
10:49:43.067      6,015      24411,1138
10:49:43.688      6,636      24406,8160
10:49:44.305      7,253      24438,0195
10:49:44.877      7,825      24416,6530
10:49:45.417      8,365      24385,6030
10:49:45.948      8,896      24410,9687
10:49:46.553      9,501      24388,7452
10:49:47.062     10,010      24400,7256
10:49:47.672     10,620      24425,3283
10:49:48.286     11,234      24405,6135
10:49:48.909     11,857      24387,4904
10:49:49.503     12,451      24403,0803
10:49:50.108     13,056      24428,4667
10:49:50.668     13,616      24381,5209
10:49:51.176     14,124      24400,3208
10:49:51.780     14,728      24410,9975
10:49:52.280     15,228      24414,1254
10:49:52.903     15,851      24422,2933
10:49:53.530     16,478      24426,0791
10:49:54.128     17,076      24452,6708
10:49:54.638     17,586      24482,1262
10:49:55.244     18,192      24517,1599
10:49:55.802     18,750      24427,0653
10:49:56.398     19,346      24463,0635
10:49:56.912     19,860      24498,6719
10:49:57.535     20,483      24482,9807
10:49:58.130     21,078      24432,2307
10:49:58.740     21,688      24515,3410
10:49:59.332     22,280      24447,3849
10:49:59.935     22,883      24419,6566
10:50:00.439     23,387      24389,7357
10:50:01.059     24,007      24375,2096
10:50:01.613     24,561      24396,0163
10:50:02.203     25,151      24375,3423
10:50:02.827     25,775      24365,7939
10:50:03.435     26,383      24392,7180
10:50:04.042     26,990      24364,0113
10:50:04.659     27,607      24388,4048
10:50:05.161     28,109      24418,1013
10:50:05.757     28,705      24423,3844
10:50:06.260     29,208      24402,8149
10:50:06.805     29,753      24379,0499
10:50:07.378     30,326      24401,7782
10:50:07.974     30,922      24419,6058
10:50:08.579     31,527      24438,0231
10:50:09.087     32,035      24440,2389
10:50:09.688     32,636      24414,6770
10:50:10.193     33,141      24415,9666
10:50:10.803     33,751      24339,4096
10:50:11.422     34,370      24310,7812
10:50:12.012     34,960      24333,6388
10:50:12.576     35,524      24390,3087
10:50:13.079     36,027      24333,9599
10:50:13.677     36,625      24400,3257
10:50:14.292     37,240      24379,2396
10:50:14.916     37,864      24409,0846
10:50:15.523     38,471      24378,1292
10:50:16.147     39,095      24428,1557
10:50:16.773     39,721      24394,8058
10:50:17.397     40,345      24376,1711
10:50:17.940     40,888      24409,8274
10:50:18.444     41,392      24429,5558
10:50:19.039     41,987      24391,9753
10:50:19.664     42,612      24404,4448
10:50:20.285     43,233      24384,2786
10:50:20.800     43,748      24352,4385
10:50:21.422     44,370      24375,5114
10:50:22.014     44,962      24423,4860
10:50:22.608     45,556      24342,1708
10:50:23.193     46,141      24428,0117
10:50:23.714     46,662      24389,2079
10:50:24.306     47,254      24362,0739
10:50:24.897     47,845      24381,1999
10:50:25.444     48,392      24384,2984
10:50:25.975     48,923      24433,0968
10:50:26.574     49,522      24401,4489
10:50:27.145     50,093      24410,0382
10:50:27.816     50,764      24389,1840
10:50:28.354     51,302      24318,8665
10:50:28.911     51,859      24411,1438
10:50:29.465     52,413      24412,9859
10:50:29.983     52,931      24360,9923
10:50:30.520     53,468      24357,8492
10:50:31.107     54,055      24392,4079
10:50:31.611     54,559      24408,9970
10:50:32.222     55,170      24416,6041
10:50:32.819     55,767      24384,2851
10:50:33.350     56,298      24366,8317
10:50:33.907     56,855      24347,9868
10:50:34.449     57,397      24347,4794
10:50:35.015     57,963      24369,6512
10:50:35.544     58,492      24344,0469
10:50:36.070     59,018      24367,6728
10:50:36.665     59,613      24395,9070
10:50:37.283     60,231      24380,6036
10:50:37.818     60,766      24390,0847
10:50:38.333     61,281      24411,3727
10:50:38.862     61,810      24383,1245
10:50:39.472     62,420      24372,1381
10:50:40.037     62,985      24308,3770
10:50:40.598     63,546      24377,2810
10:50:41.143     64,091      24387,1105
10:50:41.677     64,625      24376,5226
10:50:42.263     65,211      24366,6396
10:50:42.773     65,721      24392,3361
10:50:43.385     66,333      24392,7278
10:50:43.928     66,876      24343,3717
10:50:44.478     67,426      24378,6827
10:50:45.073     68,021      24383,4914
10:50:45.622     68,570      24353,2568
10:50:46.145     69,093      24362,0128
10:50:46.679     69,627      24347,0405
10:50:47.274     70,222      24413,1163
10:50:47.872     70,820      24344,7644
10:50:48.454     71,402      24360,6671
10:50:49.013     71,961      24368,6982
10:50:49.591     72,539      24391,1829
10:50:50.204     73,152      24362,9944
10:50:50.749     73,697      24319,0589
10:50:51.345     74,293      24336,1588
10:50:51.900     74,848      24332,3420
10:50:52.523     75,471      24283,8648
10:50:53.081     76,029      24309,9691
10:50:53.603     76,551      24372,7253
10:50:54.125     77,073      24372,9831
10:50:54.664     77,612      24371,4592
10:50:55.199     78,147      24382,4549
10:50:55.708     78,656      24319,7407
10:50:56.311     79,259      24287,2143
10:50:56.899     79,847      24299,6374
10:50:57.468     80,416      24270,4003
10:50:58.048     80,996      24313,3833
10:50:58.662     81,610      24360,5268
10:50:59.255     82,203      24392,2497
10:50:59.889     82,837      24354,9766
10:51:00.398     83,346      24355,8606
10:51:00.977     83,925      24367,1262
10:51:01.569     84,517      24396,2698
10:51:02.173     85,121      24347,9883
10:51:02.758     85,706      24371,3062
10:51:03.348     86,296      24310,4620
10:51:04.022     86,970      24342,0080
10:51:04.630     87,578      24316,9827
10:51:05.215     88,163      24345,8653
10:51:05.732     88,680      24323,5219
10:51:06.299     89,247      24360,4569
10:51:06.860     89,808      24357,8070
10:51:07.415     90,363      24354,8807
10:51:08.002     90,950      24350,8996
10:51:08.545     91,493      24337,9207
10:51:09.147     92,095      24348,2936
10:51:09.720     92,668      24300,3460
10:51:10.282     93,230      24333,2631
10:51:10.874     93,822      24319,7081
10:51:11.449     94,397      24314,5392
10:51:12.057     95,005      24337,3940
10:51:12.601     95,549      24343,0023
