History Channel Functions Measurement Report

Measurements started at Date: 11-sep-2023 Time: 13:09:03

Description of the Function:

User Defined Function: m(1;850). Scope Mode

Time         Seconds   Function Value
13:09:04.363      0,560      29435,0196
13:09:04.929      1,126      29490,8887
13:09:05.498      1,695      29460,3712
13:09:06.005      2,202      29497,9090
13:09:06.574      2,771      29395,5933
13:09:07.171      3,368      29420,9984
13:09:07.734      3,931      29414,9791
13:09:08.318      4,515      29376,9554
13:09:08.884      5,081      29324,6823
13:09:09.421      5,618      29291,2112
13:09:10.038      6,235      29303,7434
13:09:10.542      6,739      29303,2486
13:09:11.094      7,291      29326,0088
13:09:11.659      7,856      29306,3666
13:09:12.171      8,368      29324,8399
13:09:12.740      8,937      29334,6558
13:09:13.311      9,508      29343,0618
13:09:13.814     10,011      29316,5942
13:09:14.394     10,591      29329,1806
13:09:14.935     11,132      29346,6884
13:09:15.509     11,706      29361,1499
13:09:16.011     12,208      29400,9010
13:09:16.577     12,774      29367,8948
13:09:17.154     13,351      29360,1625
13:09:17.718     13,915      29381,0749
13:09:18.285     14,482      29306,7982
13:09:18.839     15,036      29345,7182
13:09:19.408     15,605      29359,2548
13:09:19.977     16,174      29365,3106
13:09:20.516     16,713      29317,5433
13:09:21.077     17,274      29359,6663
13:09:21.629     17,826      29374,7262
13:09:22.195     18,392      29369,4890
13:09:22.747     18,944      29363,7692
13:09:23.324     19,521      29363,4546
13:09:23.902     20,099      29373,0387
13:09:24.470     20,667      29332,3013
13:09:25.019     21,216      29369,7006
13:09:25.583     21,780      29334,6962
13:09:26.125     22,322      29346,2572
13:09:26.672     22,869      29329,8292
13:09:27.172     23,369      29301,1257
13:09:27.745     23,942      29344,0082
13:09:28.311     24,508      29329,5762
13:09:28.864     25,061      29296,2399
13:09:29.427     25,624      29300,8672
13:09:29.986     26,183      29278,1554
13:09:30.540     26,737      29266,5334
13:09:31.126     27,323      29349,9218
13:09:31.661     27,858      29270,7101
13:09:32.208     28,405      29252,5844
13:09:32.778     28,975      29274,3175
13:09:33.340     29,537      29303,9394
13:09:33.904     30,101      29347,8176
13:09:34.456     30,653      29335,1991
13:09:35.049     31,246      29328,2670
13:09:35.644     31,841      29362,9288
13:09:36.222     32,419      29296,9379
13:09:36.779     32,976      29328,0928
