History Channel Functions Measurement Report

Measurements started at Date: 11-sep-2023 Time: 15:47:49

Description of the Function:

User Defined Function: m(1;850). Scope Mode

Time         Seconds   Function Value
15:47:49.040      5,327      27263,0741
15:47:49.801      6,088      27353,7515
15:47:50.454      6,741      27283,7178
15:47:51.116      7,403      27309,2684
15:47:51.635      7,922      27314,9418
15:47:52.168      8,455      27296,5937
15:47:52.712      8,999      27321,9282
15:47:53.243      9,530      27327,3000
15:47:53.840     10,127      27327,5036
15:47:54.394     10,681      27354,0114
15:47:54.948     11,235      27348,4939
15:47:55.481     11,768      27360,6085
15:47:55.987     12,274      27378,4656
15:47:56.555     12,842      27331,4992
15:47:57.091     13,378      27375,4566
15:47:57.636     13,923      27374,8842
15:47:58.190     14,477      27392,4339
15:47:58.758     15,045      27386,4668
15:47:59.315     15,602      27372,7019
15:47:59.826     16,113      27382,3263
15:48:00.384     16,671      27407,9487
15:48:00.950     17,237      27435,6273
15:48:01.452     17,739      27408,2643
15:48:01.982     18,269      27413,5413
15:48:02.516     18,803      27414,0786
15:48:03.049     19,336      27440,1996
15:48:03.601     19,888      27410,6414
15:48:04.124     20,411      27375,6418
15:48:04.662     20,949      27412,9141
15:48:05.201     21,488      27450,4063
15:48:05.828     22,115      27456,4603
15:48:06.378     22,665      27463,9347
15:48:06.965     23,252      27401,7516
15:48:07.544     23,831      27373,0659
15:48:08.063     24,350      27454,1952
15:48:08.647     24,934      27440,2854
15:48:09.197     25,484      27377,3133
15:48:09.809     26,096      27470,2915
15:48:10.345     26,632      27449,6336
15:48:10.950     27,237      27394,9941
15:48:11.524     27,811      27404,2649
15:48:12.042     28,329      27388,1830
15:48:12.608     28,895      27462,8575
15:48:13.161     29,448      27485,0861
15:48:13.693     29,980      27435,0876
15:48:14.210     30,497      27433,0018
15:48:14.767     31,054      27475,2220
15:48:15.333     31,620      27450,7815
15:48:15.875     32,162      27459,2144
15:48:16.447     32,734      27457,5887
15:48:17.016     33,303      27454,9470
15:48:17.551     33,838      27468,8138
15:48:18.091     34,378      27459,4195
15:48:18.643     34,930      27449,6520
15:48:19.238     35,525      27449,1059
15:48:19.863     36,150      27484,4415
15:48:20.433     36,720      27500,3727
15:48:20.964     37,251      27429,7533
15:48:21.478     37,765      27490,0025
15:48:22.043     38,330      27515,9605
15:48:22.585     38,872      27486,1766
15:48:23.163     39,450      27484,8488
15:48:23.698     39,985      27457,3772
15:48:24.231     40,518      27464,7207
15:48:24.818     41,105      27487,0230
15:48:25.356     41,643      27460,9220
15:48:25.900     42,187      27450,5866
15:48:26.466     42,753      27483,8498
