History Channel Functions Measurement Report

Measurements started at Date: 24-abr.-2024 Time: 11:04:05

Description of the Function:

User Defined Function: m(1;550). Scope Mode

Time         Seconds   Function Value
11:04:05.511     52,701      20169,9132
11:04:05.611     52,801      20385,6333
11:04:05.731     52,921      20161,7490
11:04:05.858     53,048      20329,3473
11:04:05.990     53,180      20214,5421
11:04:06.107     53,297      20196,6827
11:04:06.210     53,400      20099,5181
11:04:06.325     53,515      20133,6791
11:04:06.425     53,615      20215,8061
11:04:06.543     53,733      20207,7575
11:04:06.671     53,861      20360,8854
11:04:06.792     53,982      20188,9615
11:04:06.911     54,101      20109,9104
11:04:07.033     54,223      20166,7528
11:04:07.163     54,353      20172,5324
11:04:07.286     54,476      20190,5605
11:04:07.408     54,598      20222,6806
11:04:07.527     54,717      20227,7311
11:04:07.645     54,835      20163,3162
11:04:07.768     54,958      20158,8488
11:04:07.895     55,085      20168,0124
11:04:08.014     55,204      20282,5810
11:04:08.137     55,327      20250,9012
11:04:08.258     55,448      20253,3920
11:04:08.377     55,567      20231,3169
11:04:08.503     55,693      20195,0887
11:04:08.622     55,812      20181,7678
11:04:08.754     55,944      20216,5234
11:04:08.857     56,047      20241,0022
11:04:08.979     56,169      20383,6364
11:04:09.105     56,295      20167,5878
11:04:09.231     56,421      20277,2529
11:04:09.332     56,522      20158,8178
11:04:09.456     56,646      20202,2471
11:04:09.579     56,769      20317,2354
11:04:09.705     56,895      20180,4068
11:04:09.834     57,024      20227,8216
11:04:09.961     57,151      20172,6162
11:04:10.065     57,255      20300,8739
11:04:10.191     57,381      20239,3249
11:04:10.317     57,507      20200,1018
11:04:10.442     57,632      20175,2923
11:04:10.570     57,760      20136,8459
11:04:10.696     57,886      20103,2700
11:04:10.828     58,018      20201,4024
11:04:10.929     58,119      20260,0878
11:04:11.055     58,245      20209,5326
11:04:11.156     58,346      20185,7005
11:04:11.269     58,459      20204,2825
11:04:11.373     58,563      20247,0262
11:04:11.500     58,690      20365,0277
11:04:11.625     58,815      20246,0150
11:04:11.752     58,942      20242,1170
11:04:11.879     59,069      20149,2281
11:04:12.005     59,195      20283,0412
11:04:12.130     59,320      20207,4009
11:04:12.256     59,446      20304,3877
11:04:12.383     59,573      20302,9363
11:04:12.508     59,698      20131,0258
11:04:12.634     59,824      20199,8427
11:04:12.773     59,963      20147,1926
11:04:12.910     60,100      20216,6929
11:04:13.034     60,224      20128,4296
11:04:13.149     60,339      20184,1803
11:04:13.270     60,460      20198,2327
11:04:13.388     60,578      20071,0583
11:04:13.504     60,694      20111,9402
11:04:13.617     60,807      20199,4397
11:04:13.742     60,932      20143,2271
11:04:13.863     61,053      20151,5676
11:04:13.987     61,177      20154,9567
11:04:14.111     61,301      20126,7840
11:04:14.233     61,423      20094,1646
11:04:14.360     61,550      20107,0979
11:04:14.477     61,667      20232,5389
11:04:14.592     61,782      20183,3399
11:04:14.715     61,905      20147,4887
11:04:14.846     62,036      20137,0549
11:04:14.965     62,155      20321,5796
11:04:15.093     62,283      20167,4508
11:04:15.214     62,404      20087,2041
11:04:15.330     62,520      20217,7598
11:04:15.454     62,644      20342,9536
11:04:15.568     62,758      20240,6809
11:04:15.693     62,883      20178,0639
11:04:15.817     63,007      20188,5112
11:04:15.941     63,131      20091,5155
11:04:16.063     63,253      20182,3503
11:04:16.187     63,377      20162,4423
11:04:16.305     63,495      20150,4711
11:04:16.405     63,595      20283,9027
11:04:16.523     63,713      20186,2512
11:04:16.639     63,829      20174,2667
11:04:16.771     63,961      20144,4452
11:04:16.897     64,087      20214,7496
11:04:17.012     64,202      20264,8794
11:04:17.126     64,316      20290,5971
11:04:17.243     64,433      20109,4810
11:04:17.364     64,554      20245,5076
11:04:17.484     64,674      20199,3071
11:04:17.610     64,800      20210,0130
11:04:17.729     64,919      20274,1843
11:04:17.845     65,035      20302,1335
11:04:17.975     65,165      20126,2092
11:04:18.102     65,292      20209,8312
11:04:18.209     65,399      20224,8475
11:04:18.325     65,515      20227,7660
11:04:18.441     65,631      20142,5751
11:04:18.552     65,742      20099,4334
11:04:18.660     65,850      20244,8209
11:04:18.773     65,963      20167,5746
11:04:18.897     66,087      20150,4280
11:04:19.015     66,205      20133,6398
11:04:19.143     66,333      20110,8760
11:04:19.263     66,453      20303,4162
11:04:19.379     66,569      20181,9067
11:04:19.500     66,690      20242,0955
11:04:19.617     66,807      20186,7228
11:04:19.742     66,932      20292,7642
11:04:19.867     67,057      20214,6481
11:04:19.991     67,181      20231,8610
11:04:20.114     67,304      20118,6557
11:04:20.235     67,425      20196,5007
11:04:20.353     67,543      20179,8490
11:04:20.482     67,672      20285,8187
11:04:20.606     67,796      20174,9020
11:04:20.728     67,918      20164,0563
11:04:20.847     68,037      20069,6407
11:04:20.970     68,160      20310,6562
11:04:21.083     68,273      20198,5294
11:04:21.203     68,393      20211,2862
11:04:21.330     68,520      20199,1083
11:04:21.446     68,636      20257,2687
11:04:21.566     68,756      20162,3634
11:04:21.688     68,878      20184,0511
11:04:21.807     68,997      20214,2033
11:04:21.930     69,120      20191,9537
11:04:22.044     69,234      20130,3427
11:04:22.163     69,353      20227,4022
11:04:22.284     69,474      20242,4041
11:04:22.404     69,594      20217,8242
11:04:22.521     69,711      20175,4607
11:04:22.646     69,836      20139,1783
11:04:22.765     69,955      20140,7270
11:04:22.893     70,083      20185,5631
11:04:23.011     70,201      20276,1972
11:04:23.137     70,327      20248,0686
11:04:23.254     70,444      20154,4647
11:04:23.364     70,554      20176,2081
11:04:23.490     70,680      20235,9446
11:04:23.610     70,800      20183,8108
11:04:23.732     70,922      20276,9818
11:04:23.844     71,034      20203,5128
11:04:23.962     71,152      20204,1040
11:04:24.078     71,268      20174,4117
11:04:24.203     71,393      20256,9719
11:04:24.325     71,515      20199,2121
11:04:24.451     71,641      20255,8370
11:04:24.568     71,758      20198,0988
11:04:24.691     71,881      20157,2836
11:04:24.809     71,999      20300,7402
11:04:24.913     72,103      20211,9718
11:04:25.035     72,225      20294,6528
11:04:25.158     72,348      20325,7796
11:04:25.279     72,469      20269,0550
11:04:25.399     72,589      20203,6883
11:04:25.518     72,708      20082,3261
11:04:25.636     72,826      20194,1574
11:04:25.766     72,956      20167,6365
