History Channel Functions Measurement Report

Measurements started at Date: 24-abr.-2024 Time: 09:18:39

Description of the Function:

User Defined Function: m(1;550). Scope Mode

Time         Seconds   Function Value
09:18:39.514      0,110      23078,9945
09:18:39.621      0,217      22973,6598
09:18:39.728      0,324      23001,7335
09:18:39.837      0,433      23069,3256
09:18:39.945      0,541      22993,0058
09:18:40.052      0,648      23076,2768
09:18:40.160      0,756      22934,4174
09:18:40.266      0,862      23000,9196
09:18:40.375      0,971      23054,2755
09:18:40.489      1,085      23034,1599
09:18:40.596      1,192      22997,5587
09:18:40.701      1,297      23229,5580
09:18:40.814      1,410      22942,1599
09:18:40.927      1,523      22932,2332
09:18:41.036      1,632      23048,7337
09:18:41.150      1,746      23062,9407
09:18:41.266      1,862      23009,9423
09:18:41.378      1,974      22947,2939
09:18:41.493      2,089      23019,6343
09:18:41.607      2,203      23111,7427
09:18:41.727      2,323      22998,7990
09:18:41.845      2,441      23050,8684
09:18:41.969      2,565      22927,0545
09:18:42.090      2,686      23037,9254
09:18:42.210      2,806      23015,4914
09:18:42.330      2,926      23026,7319
09:18:42.468      3,064      23075,0663
09:18:42.589      3,185      23119,9886
09:18:42.707      3,303      23049,6675
09:18:42.828      3,424      23082,9222
09:18:42.948      3,544      23028,7564
09:18:43.066      3,662      22941,6802
09:18:43.184      3,780      23069,0713
09:18:43.302      3,898      23020,0795
09:18:43.422      4,018      23030,6669
09:18:43.548      4,144      23124,5672
09:18:43.665      4,261      23116,2954
09:18:43.780      4,376      22994,7739
09:18:43.900      4,496      23028,5739
09:18:44.017      4,613      22981,7824
09:18:44.138      4,734      22988,4153
09:18:44.261      4,857      22981,1071
09:18:44.378      4,974      22955,9279
09:18:44.503      5,099      23068,7413
09:18:44.625      5,221      22966,4347
09:18:44.747      5,343      22960,9105
09:18:44.847      5,443      23084,6831
09:18:45.029      5,625      23134,0797
09:18:45.137      5,733      22988,7352
09:18:45.244      5,840      23084,1416
09:18:45.351      5,947      23049,4328
09:18:45.459      6,055      23087,4239
09:18:45.570      6,166      23081,7313
09:18:45.677      6,273      23102,6597
09:18:45.791      6,387      23029,8775
09:18:45.898      6,494      22961,7702
09:18:46.007      6,603      23097,8526
09:18:46.118      6,714      22995,8541
09:18:46.225      6,821      22985,2487
09:18:46.335      6,931      22996,9181
09:18:46.447      7,043      23020,8375
09:18:46.553      7,149      23090,7148
09:18:46.662      7,258      22957,6143
09:18:46.770      7,366      23082,9319
09:18:46.883      7,479      23027,7443
09:18:46.991      7,587      22848,7786
09:18:47.099      7,695      23087,4753
09:18:47.211      7,807      23032,2856
09:18:47.319      7,915      23019,9050
09:18:47.430      8,026      22970,8497
09:18:47.540      8,136      23043,6319
09:18:47.650      8,246      22936,9565
09:18:47.759      8,355      23055,3588
09:18:47.865      8,461      23049,8181
09:18:47.977      8,573      23059,5828
09:18:48.085      8,681      22951,3836
09:18:48.194      8,790      22961,8850
09:18:48.303      8,899      23043,6574
09:18:48.412      9,008      23159,7644
09:18:48.528      9,124      22999,3344
09:18:48.644      9,240      22991,4128
09:18:48.752      9,348      23047,0717
09:18:48.864      9,460      22985,5696
09:18:48.973      9,569      23113,9103
09:18:49.079      9,675      23054,9890
09:18:49.187      9,783      23025,3420
09:18:49.302      9,898      22941,3102
09:18:49.409     10,005      23084,3880
09:18:49.518     10,114      23028,4192
09:18:49.631     10,227      23029,0311
09:18:49.738     10,334      23075,0551
09:18:49.847     10,443      23026,8262
09:18:49.960     10,556      23099,7608
09:18:50.072     10,668      23050,7355
09:18:50.180     10,776      23081,5376
09:18:50.300     10,896      23070,5067
09:18:50.411     11,007      22927,3067
09:18:50.520     11,116      23043,3182
09:18:50.634     11,230      23002,3864
09:18:50.742     11,338      22969,2889
09:18:50.856     11,452      23018,0668
09:18:50.966     11,562      22974,9099
09:18:51.076     11,672      22943,7158
09:18:51.190     11,786      23131,6978
09:18:51.300     11,896      23045,7789
09:18:51.423     12,019      23001,8782
09:18:51.530     12,126      22972,2880
09:18:51.643     12,239      23223,1394
09:18:51.752     12,348      23025,3041
09:18:51.863     12,459      11318,1747
09:18:51.970     12,566        780,7586
09:18:52.075     12,671        226,1225
09:18:52.185     12,781        185,0207
09:18:52.292     12,888        151,4555
09:18:52.399     12,995        167,9776
09:18:52.513     13,109        165,7352
09:18:52.623     13,219        157,3403
09:18:52.732     13,328        149,0462
09:18:52.845     13,441        151,2297
09:18:52.955     13,551        150,7607
09:18:53.063     13,659        177,3822
09:18:53.169     13,765        152,5902
09:18:53.280     13,876        169,2743
09:18:53.396     13,992        155,6410
09:18:53.505     14,101        167,1539
09:18:53.620     14,216        150,8907
09:18:53.729     14,325        151,5479
09:18:53.837     14,433        165,6534
09:18:53.950     14,546        158,2621
09:18:54.057     14,653        145,1673
09:18:54.164     14,760        153,4820
09:18:54.271     14,867        145,9351
09:18:54.378     14,974        148,6024
09:18:54.486     15,082        155,9833
09:18:54.594     15,190        165,1523
09:18:54.705     15,301        162,0461
09:18:54.812     15,408        153,1023
09:18:54.921     15,517        164,9301
09:18:55.028     15,624        149,4837
09:18:55.139     15,735        175,1426
09:18:55.249     15,845        173,4758
09:18:55.363     15,959        159,2173
09:18:55.468     16,064        164,3011
09:18:55.578     16,174        175,6401
09:18:55.687     16,283        150,2223
09:18:55.804     16,400        176,4846
09:18:55.917     16,513        142,1803
09:18:56.037     16,633        158,3134
09:18:56.148     16,744        151,3395
09:18:56.258     16,854        153,9382
09:18:56.372     16,968        169,9276
09:18:56.481     17,077        158,4119
09:18:56.600     17,196        163,3048
09:18:56.721     17,317        154,7659
09:18:56.832     17,428        160,5943
09:18:56.949     17,545        156,5764
09:18:57.066     17,662        160,9777
09:18:57.173     17,769        159,2573
09:18:57.282     17,878        167,5820
09:18:57.384     17,980        159,3591
09:18:57.514     18,110        180,5979
09:18:57.634     18,230        161,3799
09:18:57.757     18,353        148,0532
09:18:57.878     18,474        170,1122
09:18:58.003     18,599        166,6126
09:18:58.130     18,726        159,6897
09:18:58.257     18,853        177,0500
09:18:58.389     18,985        159,2993
09:18:58.517     19,113        169,7526
09:18:58.622     19,218        151,5666
09:18:58.745     19,341        163,0448
09:18:58.855     19,451        173,7560
09:18:58.962     19,558        167,1444
09:18:59.072     19,668        165,6457
09:18:59.186     19,782        171,9342
09:18:59.292     19,888        146,8835
09:18:59.408     20,004        168,9824
09:18:59.511     20,107        163,5434
09:18:59.620     20,216        159,0474
09:18:59.729     20,325        168,6100
09:18:59.838     20,434        153,1090
09:18:59.947     20,543        154,4631
09:19:00.053     20,649        168,6838
09:19:00.198     20,794        159,5257
09:19:00.307     20,903        153,6776
09:19:00.418     21,014        160,7193
09:19:00.529     21,125        169,8461
09:19:00.638     21,234        162,4107
09:19:00.751     21,347        155,0197
09:19:00.858     21,454        170,3595
09:19:00.965     21,561        158,3574
09:19:01.076     21,672        171,2398
09:19:01.183     21,779        180,9409
09:19:01.293     21,889        165,3921
09:19:01.402     21,998        155,8804
09:19:01.512     22,108        157,2251
09:19:01.619     22,215        142,0315
09:19:01.726     22,322        161,3082
09:19:01.834     22,430        148,3518
09:19:01.950     22,546        169,6164
09:19:02.056     22,652        146,1263
09:19:02.164     22,760        150,4633
09:19:02.272     22,868        161,8739
09:19:02.383     22,979        161,3459
09:19:02.492     23,088        180,3091
09:19:02.600     23,196        167,3646
09:19:02.713     23,309        143,2057
09:19:02.826     23,422        153,5342
09:19:02.935     23,531        146,3569
09:19:03.044     23,640        169,5679
09:19:03.158     23,754        151,2274
09:19:03.268     23,864        145,2434
09:19:03.376     23,972        148,4244
09:19:03.489     24,085        145,5115
09:19:03.596     24,192        158,5137
09:19:03.705     24,301        155,8951
09:19:03.819     24,415        164,9075
09:19:03.928     24,524        147,1863
09:19:04.034     24,630        152,8040
09:19:04.142     24,738        149,7989
09:19:04.250     24,846        155,2298
09:19:04.359     24,955        161,8768
09:19:04.470     25,066        179,5741
09:19:04.576     25,172        182,3953
09:19:04.690     25,286        171,0315
09:19:04.803     25,399        141,9819
09:19:04.912     25,508        151,5275
09:19:05.019     25,615        143,1452
09:19:05.123     25,719        174,8506
09:19:05.232     25,828        152,2496
09:19:05.348     25,944        152,0582
09:19:05.453     26,049        141,4424
09:19:05.564     26,160        161,4242
09:19:05.675     26,271        638,0201
09:19:05.781     26,377       6286,7739
09:19:05.888     26,484      15316,5596
09:19:05.997     26,593      20239,4642
09:19:06.102     26,698      22254,6670
09:19:06.216     26,812      22632,4242
09:19:06.322     26,918      22889,0484
09:19:06.437     27,033      23057,4861
09:19:06.546     27,142      23188,2636
09:19:06.652     27,248      23056,9995
09:19:06.758     27,354      23156,3204
09:19:06.867     27,463      23083,8966
09:19:06.977     27,573      23030,6643
09:19:07.089     27,685      23172,6080
09:19:07.196     27,792      23096,2793
09:19:07.304     27,900      23078,1408
09:19:07.414     28,010      22923,2412
09:19:07.521     28,117      23056,0020
09:19:07.631     28,227      23082,6216
09:19:07.742     28,338      23084,3564
09:19:07.851     28,447      23115,9671
09:19:07.956     28,552      23038,2532
09:19:08.075     28,671      23062,1175
09:19:08.184     28,780      23057,2709
09:19:08.296     28,892      23012,3906
09:19:08.407     29,003      23026,6081
09:19:08.520     29,116      22994,7706
09:19:08.632     29,228      23021,4586
09:19:08.744     29,340      22977,8250
09:19:08.855     29,451      22999,3180
09:19:08.974     29,570      23111,4170
09:19:09.086     29,682      22975,1898
09:19:09.195     29,791      23000,3795
09:19:09.305     29,901      22994,8273
09:19:09.419     30,015      22970,4681
09:19:09.527     30,123      23065,9076
09:19:09.633     30,229      23025,6510
09:19:09.743     30,339      23163,2228
09:19:09.855     30,451      23036,8409
09:19:09.964     30,560      22795,3502
09:19:10.070     30,666      22858,5686
09:19:10.178     30,774      22908,2859
09:19:10.287     30,883      23026,4475
09:19:10.395     30,991      22954,5948
09:19:10.505     31,101      22979,9261
09:19:10.615     31,211      22932,4703
09:19:10.726     31,322      23033,9809
09:19:10.835     31,431      22987,3631
09:19:10.955     31,551      22930,4311
09:19:11.066     31,662      22918,1411
09:19:11.180     31,776      22944,8738
09:19:11.287     31,883      23066,4564
09:19:11.409     32,005      23082,6311
09:19:11.519     32,115      23032,5671
09:19:11.636     32,232      23005,7038
09:19:11.741     32,337      22968,5839
09:19:11.849     32,445      23129,8460
09:19:11.953     32,549      23036,6004
09:19:12.066     32,662      22941,9931
09:19:12.176     32,772      23070,4260
09:19:12.283     32,879      23004,7170
09:19:12.392     32,988      22984,6334
09:19:12.500     33,096      22995,2249
09:19:12.611     33,207      23074,7870
09:19:12.718     33,314      22839,7644
09:19:12.826     33,422      23031,8028
09:19:12.941     33,537      23054,2091
09:19:13.048     33,644      23090,3915
09:19:13.156     33,752      22899,4050
09:19:13.267     33,863      22936,8251
09:19:13.374     33,970      22930,5317
09:19:13.489     34,085      22903,5130
09:19:13.596     34,192      23020,5521
09:19:13.878     34,474      22935,9668
09:19:13.991     34,587      22895,9793
09:19:14.111     34,707      23037,8927
09:19:14.219     34,815      23023,7025
09:19:14.326     34,922      23078,1271
09:19:14.435     35,031      22958,1201
09:19:14.545     35,141      23124,0489
09:19:14.650     35,246      23038,9877
09:19:14.756     35,352      22970,4116
09:19:14.866     35,462      23034,3111
09:19:14.977     35,573      23052,7009
09:19:15.093     35,689      22922,4946
09:19:15.209     35,805      22904,4752
09:19:15.319     35,915      23028,5311
09:19:15.440     36,036      23055,9909
09:19:15.552     36,148      23102,6618
09:19:15.664     36,260      22944,1450
09:19:15.771     36,367      23172,1162
09:19:15.881     36,477      23017,9822
09:19:15.987     36,583      22920,0319
09:19:16.108     36,704      22985,1071
09:19:16.219     36,815      22931,7644
09:19:16.339     36,935      22976,1513
09:19:16.453     37,049      23054,2973
09:19:16.561     37,157      23095,8090
09:19:16.666     37,262      22907,7770
09:19:16.783     37,379      23113,3870
09:19:16.891     37,487      22988,7578
09:19:17.001     37,597      22938,8872
09:19:17.110     37,706      23030,6699
09:19:17.216     37,812      22929,1312
09:19:17.323     37,919      22928,2337
09:19:17.447     38,043      23009,3208
09:19:17.556     38,152      22845,1225
09:19:17.681     38,277      22979,2975
09:19:17.792     38,388      22977,0242
09:19:17.901     38,497      23021,6469
