[Measurement conditions],,,
Sample identification,ITO+WO3,,
Comment - 1,"Configuration=3-axis cradle, Owner=User-1, Creation date=10/21/2019 2:49:51 PM",,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 3,Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001,,
Comment - 4,Diffractometer system=EMPYREAN,,
Comment - 5,"Measurement program=C:\Users\User\Desktop\Users\E.Rojas\20240206\gi20_80_1p0grad_0p08_10s_BBHD_div1d8_ASS1d32_4h10min02s.xrdmp, Identifier={61566FC5-F6C1-4FFF-9DD6-E5DCADD731D7}",,
Comment - 6,Fine Calibration Offset for 2Theta = 0.1702 deg,,
Comment - 7,Fine Calibration Offset for Omega = 0.2485 deg,,
Comment - 8,"Batch program=C:\Users\User\Desktop\Users\E.Rojas\20240206\Btach_gi20_80_1p0grad_0p08_10s_BBHD_div1d8_ASS1d32_4h10min02s.xrdmp, Identifier={CAC0F574-5C55-462A-AAB3-8713CE1CDAE7}",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.19mm,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,2/6/2024 16:20,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,2Theta,,
Scan range,20,80,
Scan step size,0.08,,
No. of points,750,,
Scan type,CONTINUOUS,,
Omega,1,,
Phi,0,,
Psi,0,,
Z,5.208,,
Time per step,20,,
[Scan points],,,
Angle, TimePerStep, Intensity, ESD
20.04,20,18,4.2426
20.12,20,18,4.2426
20.2,20,12,3.4641
20.28,20,17,4.1231
20.36,20,25,5
20.44,20,15,3.873
20.52,20,15,3.873
20.6,20,17,4.1231
20.68,20,15,3.873
20.76,20,23,4.7958
20.84,20,13,3.6056
20.92,20,28,5.2915
21,20,19,4.3589
21.08,20,16,4
21.16,20,20,4.4721
21.24,20,15,3.873
21.32,20,14,3.7417
21.4,20,16,4
21.48,20,28,5.2915
21.56,20,17,4.1231
21.64,20,16,4
21.72,20,21,4.5826
21.8,20,18,4.2426
21.88,20,16,4
21.96,20,20,4.4721
22.04,20,15,3.873
22.12,20,11,3.3166
22.2,20,15,3.873
22.28,20,21,4.5826
22.36,20,6,2.4495
22.44,20,17,4.1231
22.52,20,14,3.7417
22.6,20,17,4.1231
22.68,20,14,3.7417
22.76,20,14,3.7417
22.84,20,19,4.3589
22.92,20,13,3.6056
23,20,25,5
23.08,20,19,4.3589
23.16,20,27,5.1962
23.24,20,14,3.7417
23.32,20,20,4.4721
23.4,20,29,5.3852
23.48,20,20,4.4721
23.56,20,22,4.6904
23.64,20,32,5.6569
23.72,20,17,4.1231
23.8,20,20,4.4721
23.88,20,20,4.4721
23.96,20,31,5.5678
24.04,20,20,4.4721
24.12,20,25,5
24.2,20,24,4.899
24.28,20,26,5.099
24.36,20,30,5.4772
24.44,20,17,4.1231
24.52,20,15,3.873
24.6,20,25,5
24.68,20,27,5.1962
24.76,20,28,5.2915
24.84,20,28,5.2915
24.92,20,24,4.899
25,20,29,5.3852
25.08,20,19,4.3589
25.16,20,31,5.5678
25.24,20,20,4.4721
25.32,20,22,4.6904
25.4,20,23,4.7958
25.48,20,23,4.7958
25.56,20,27,5.1962
25.64,20,27,5.1962
25.72,20,34,5.831
25.8,20,20,4.4721
25.88,20,22,4.6904
25.96,20,24,4.899
26.04,20,25,5
26.12,20,23,4.7958
26.2,20,23,4.7958
26.28,20,26,5.099
26.36,20,24,4.899
26.44,20,21,4.5826
26.52,20,15,3.873
26.6,20,24,4.899
26.68,20,18,4.2426
26.76,20,22,4.6904
26.84,20,22,4.6904
26.92,20,22,4.6904
27,20,24,4.899
27.08,20,29,5.3852
27.16,20,22,4.6904
27.24,20,36,6
27.32,20,27,5.1962
27.4,20,21,4.5826
27.48,20,27,5.1962
27.56,20,26,5.099
27.64,20,19,4.3589
27.72,20,28,5.2915
27.8,20,27,5.1962
27.88,20,34,5.831
27.96,20,27,5.1962
28.04,20,17,4.1231
28.12,20,25,5
28.2,20,30,5.4772
28.28,20,17,4.1231
28.36,20,21,4.5826
28.44,20,25,5
