[Measurement conditions]
Sample identification,ITO
Comment - 1,"Configuration=3-axis cradle, Owner=User-1, Creation date=10/21/2019 2:49:51 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\User\Desktop\Users\E.Rojas\20240206\gi20_80_1p0grad_0p08_10s_BBHD_div1d8_ASS1d32_4h10min02s.xrdmp, Identifier={61566FC5-F6C1-4FFF-9DD6-E5DCADD731D7}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.1774 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.0973 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,06/Feb/2024 11:19
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.00000,80.00000
Scan step size,0.0800000
No. of points, 750
Scan type,CONTINUOUS
Omega,1.0000
Phi,0.00
Psi,0.00
Z,5.216
Time per step,20.00
[Scan points]
Angle, TimePerStep, Intensity, ESD
20.04000, 20.00, 13.0, 3.6056
20.12000, 20.00, 11.0, 3.3166
20.20000, 20.00, 14.0, 3.7417
20.28000, 20.00, 12.0, 3.4641
20.36000, 20.00, 10.0, 3.1623
20.44000, 20.00, 19.0, 4.3589
20.52000, 20.00, 16.0, 4.0000
20.60000, 20.00, 10.0, 3.1623
20.68000, 20.00, 15.0, 3.8730
20.76000, 20.00, 16.0, 4.0000
20.84000, 20.00, 8.0, 2.8284
20.92000, 20.00, 19.0, 4.3589
21.00000, 20.00, 17.0, 4.1231
21.08000, 20.00, 23.0, 4.7958
21.16000, 20.00, 21.0, 4.5826
21.24000, 20.00, 15.0, 3.8730
21.32000, 20.00, 26.0, 5.0990
21.40000, 20.00, 27.0, 5.1962
21.48000, 20.00, 33.0, 5.7446
21.56000, 20.00, 28.0, 5.2915
21.64000, 20.00, 19.0, 4.3589
21.72000, 20.00, 18.0, 4.2426
21.80000, 20.00, 10.0, 3.1623
21.88000, 20.00, 21.0, 4.5826
21.96000, 20.00, 16.0, 4.0000
22.04000, 20.00, 17.0, 4.1231
22.12000, 20.00, 17.0, 4.1231
22.20000, 20.00, 12.0, 3.4641
22.28000, 20.00, 16.0, 4.0000
22.36000, 20.00, 14.0, 3.7417
22.44000, 20.00, 17.0, 4.1231
22.52000, 20.00, 20.0, 4.4721
22.60000, 20.00, 17.0, 4.1231
22.68000, 20.00, 14.0, 3.7417
22.76000, 20.00, 28.0, 5.2915
22.84000, 20.00, 13.0, 3.6056
22.92000, 20.00, 18.0, 4.2426
23.00000, 20.00, 17.0, 4.1231
23.08000, 20.00, 12.0, 3.4641
23.16000, 20.00, 13.0, 3.6056
23.24000, 20.00, 15.0, 3.8730
23.32000, 20.00, 7.0, 2.6458
23.40000, 20.00, 17.0, 4.1231
23.48000, 20.00, 13.0, 3.6056
23.56000, 20.00, 8.0, 2.8284
23.64000, 20.00, 12.0, 3.4641
23.72000, 20.00, 12.0, 3.4641
23.80000, 20.00, 10.0, 3.1623
23.88000, 20.00, 20.0, 4.4721
23.96000, 20.00, 9.0, 3.0000
24.04000, 20.00, 15.0, 3.8730
24.12000, 20.00, 14.0, 3.7417
24.20000, 20.00, 11.0, 3.3166
24.28000, 20.00, 19.0, 4.3589
24.36000, 20.00, 15.0, 3.8730
24.44000, 20.00, 14.0, 3.7417
24.52000, 20.00, 17.0, 4.1231
24.60000, 20.00, 20.0, 4.4721
24.68000, 20.00, 8.0, 2.8284
24.76000, 20.00, 7.0, 2.6458
24.84000, 20.00, 17.0, 4.1231
24.92000, 20.00, 16.0, 4.0000
25.00000, 20.00, 14.0, 3.7417
25.08000, 20.00, 16.0, 4.0000
25.16000, 20.00, 14.0, 3.7417
