[Measurement conditions],,,
Sample identification,ITO,,
Comment - 1,"Configuration=3-axis cradle, Owner=User-1, Creation date=10/21/2019 2:49:51 PM",,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 3,Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001,,
Comment - 4,Diffractometer system=EMPYREAN,,
Comment - 5,"Measurement program=C:\Users\User\Desktop\Users\E.Rojas\20240206\gi20_80_1p0grad_0p08_10s_BBHD_div1d8_ASS1d32_4h10min02s.xrdmp, Identifier={61566FC5-F6C1-4FFF-9DD6-E5DCADD731D7}",,
Comment - 6,Fine Calibration Offset for 2Theta = 0.1774 deg,,
Comment - 7,Fine Calibration Offset for Omega = 0.0973 deg,,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.19mm,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,2/6/2024 11:19,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,2Theta,,
Scan range,20,80,
Scan step size,0.08,,
No. of points,750,,
Scan type,CONTINUOUS,,
Omega,1,,
Phi,0,,
Psi,0,,
Z,5.216,,
Time per step,20,,
[Scan points],,,
Angle, TimePerStep, Intensity, ESD
20.04,20,13,3.6056
20.12,20,11,3.3166
20.2,20,14,3.7417
20.28,20,12,3.4641
20.36,20,10,3.1623
20.44,20,19,4.3589
20.52,20,16,4
20.6,20,10,3.1623
20.68,20,15,3.873
20.76,20,16,4
20.84,20,8,2.8284
20.92,20,19,4.3589
21,20,17,4.1231
21.08,20,23,4.7958
21.16,20,21,4.5826
21.24,20,15,3.873
21.32,20,26,5.099
21.4,20,27,5.1962
21.48,20,33,5.7446
21.56,20,28,5.2915
21.64,20,19,4.3589
21.72,20,18,4.2426
21.8,20,10,3.1623
21.88,20,21,4.5826
21.96,20,16,4
22.04,20,17,4.1231
22.12,20,17,4.1231
22.2,20,12,3.4641
22.28,20,16,4
22.36,20,14,3.7417
22.44,20,17,4.1231
22.52,20,20,4.4721
22.6,20,17,4.1231
22.68,20,14,3.7417
22.76,20,28,5.2915
22.84,20,13,3.6056
22.92,20,18,4.2426
23,20,17,4.1231
23.08,20,12,3.4641
23.16,20,13,3.6056
23.24,20,15,3.873
23.32,20,7,2.6458
23.4,20,17,4.1231
23.48,20,13,3.6056
23.56,20,8,2.8284
23.64,20,12,3.4641
23.72,20,12,3.4641
23.8,20,10,3.1623
23.88,20,20,4.4721
23.96,20,9,3
24.04,20,15,3.873
24.12,20,14,3.7417
24.2,20,11,3.3166
24.28,20,19,4.3589
24.36,20,15,3.873
24.44,20,14,3.7417
24.52,20,17,4.1231
24.6,20,20,4.4721
24.68,20,8,2.8284
24.76,20,7,2.6458
24.84,20,17,4.1231
24.92,20,16,4
25,20,14,3.7417
25.08,20,16,4
25.16,20,14,3.7417
25.24,20,12,3.4641
25.32,20,12,3.4641
25.4,20,21,4.5826
25.48,20,20,4.4721
25.56,20,21,4.5826
25.64,20,17,4.1231
25.72,20,13,3.6056
25.8,20,9,3
25.88,20,17,4.1231
25.96,20,12,3.4641
26.04,20,14,3.7417
26.12,20,20,4.4721
26.2,20,15,3.873
26.28,20,17,4.1231
26.36,20,18,4.2426
26.44,20,17,4.1231
26.52,20,16,4
26.6,20,11,3.3166
26.68,20,13,3.6056
26.76,20,19,4.3589
26.84,20,28,5.2915
26.92,20,17,4.1231
27,20,11,3.3166
27.08,20,17,4.1231
27.16,20,19,4.3589
27.24,20,12,3.4641
27.32,20,16,4
27.4,20,18,4.2426
27.48,20,16,4
27.56,20,16,4
27.64,20,16,4
27.72,20,21,4.5826
27.8,20,17,4.1231
27.88,20,25,5
27.96,20,13,3.6056
28.04,20,20,4.4721
28.12,20,9,3
28.2,20,19,4.3589
28.28,20,9,3
28.36,20,23,4.7958
28.44,20,20,4.4721
28.52,20,19,4.3589
28.6,20,19,4.3589
28.68,20,20,4.4721
28.76,20,20,4.4721
28.84,20,22,4.6904
28.92,20,20,4.4721
29,20,18,4.2426
29.08,20,21,4.5826
29.16,20,22,4.6904
29.24,20,22,4.6904
29.32,20,15,3.873
